,Address,County,Municipality,Name of Organization,Public OR Patients Only,Questionable,Scheduling Information,Vaccinates 12+ or 18+,lon,lat
34,"1364 Main St, Sanford, ME 04073, ",York,Sanford,York County Emergency Management,Public,No,"Tuesdays and Thursdays from 1pm-7pm, Saturdays (beginning 9/18) from 8am-4pm. 
 
1364 Main Street in the building next to the Dollar Tree. 
 
Offering single-shot J&J, two-dose Moderna for those 18+ and two-dose Pfizer for anyone 12+. Drop in or make an appointment at vaccinateme.maine.gov",12+,-70.7464828491211,43.41461181640625
35,"1364 Main St, Sanford, ME 04073, United States",York,Sanford,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-70.7464828491211,43.41461181640625
36,"137 North St, Houlton, ME 04730, United States",Aroostook,Houlton,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-67.83888244628906,46.13740921020508
37,"140 Academy St, Presque Isle, ME 04769, United States",Aroostook,Presque Isle,Northern Light AR Gould Hospital,Public,No,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-67.99870300292969,46.674354553222656
38,"140 Elm Plaza, Waterville, ME 04901, United States",Kennebec,Waterville,Hannaford,N/A,N/A,"140 Elm Plaza. Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-69.64112854003906,44.56871032714844
39,"144 Dublin St, Machias, ME 04654, United States",Washington,Machias,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",N/A,-67.46337127685547,44.70473098754883
40,"144 State St, Portland, ME 04101, United States",Cumberland,Portland,Northern Light Mercy Hospital,Public,No,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-70.26480102539062,43.651275634765625
41,"145 Elm St, Camden, ME 04843, United States",Knox,Camden,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-69.07894897460938,44.20109558105469
42,"147 Bath Rd, Brunswick, ME 04011, United States",Cumberland,Brunswick,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-69.92466735839844,43.908042907714844
43,"148 Main St, Jay, ME 04239, United States",Franklin,Jay,Spruce Mountain Pharmacy,N/A,N/A,Call 207-897-9080 for an appointment or join our list online and we will contact you,N/A,-70.20347595214844,44.49384307861328
44,"149 Main St, Winthrop, ME 04364, United States",Kennebec,Winthrop,Winthrop Family Medicine,Public,No,Call 207-377-2111 to schedule an appointment. Appointments available to non-patients.,18+,-69.96968841552734,44.30704116821289
45,"149 North Street, Waterville, ME 04901",Kennebec,Waterville,Thayer Internal Medicine,Public,N/A,Call 207-873-1098 to schedule an appointment. Appointments available to non-patients.,18+,-69.64655303955078,44.56517791748047
46,"15 E Chestnut St, Augusta, ME 04330, United States",Kennebec,Augusta,Maine Dartmouth Geriatric Medicine,Public,No,Call 207-626-7400 to make an appointment. Appointments available to non-patients.,18+,-69.76764678955078,44.3133430480957
47,"15 Enterprise Drive, 2nd Floor, Augusta, ME 04330",Kennebec,Augusta,Augusta Family Medicine,Public,No,Call 207-621-8800 to schedule an appointment. Open to non-patients.,18+,-69.79570007324219,44.3654670715332
48,"15 Jay Plaza Ln, Jay, ME 04239, United States",Franklin,Jay,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.21466064453125,44.50560760498047
49,"15 Medical Center Loop, Vinalhaven, ME 04863, United States",Knox,Vinalhaven,Islands Community Medical Services,Patient Only,Yes,"Patients may call Anna Clapham, 207-863-4341, extension 1126.",N/A,-68.83068084716797,44.04648208618164
50,"15 Oak St, Springvale, ME 04083, United States",York,Sanford/ Springvale,Nasson Health Care,Public,No,Drop-in clinic weekdays 9-4 or call for an appointment: 207-490-6900,12+,-70.79833984375,43.46523666381836
51,"15 Saco Ave, Old Orchard Beach, ME 04064, United States",York,Old Orchard Beach,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.37830352783203,43.515838623046875
52,"15 Shapleigh Rd, Kittery, ME 03904, United States",York,Kittery,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.73751831054688,43.09062957763672
53,"15 South St, Blue Hill, ME 04614, United States",Hancock,Blue Hill,"Community Pharmacy, Blue Hill",N/A,N/A,To schedule an appointment visit communityrx.com/covid-19/ and select your location of choice.,N/A,-68.59749603271484,44.406517028808594
54,"15 Tibbetts Dr, Brunswick, ME 04011, United States",Cumberland,Brunswick,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-69.90758514404297,43.90708541870117
55,"150 Western Ave, Augusta, ME 04330, United States",Kennebec,Augusta,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-69.79476165771484,44.31167984008789
56,"151 E Main St, Dover-Foxcroft, ME 04426, United States",Piscataquis,Dover-Foxcroft,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.22504425048828,45.18295669555664
57,"151 Maple St, Cornish, ME 04020, United States",York,Cornish,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.81878662109375,43.80512619018555
58,"156 Maine St, Brunswick, ME 04011, United States",Cumberland,Brunswick,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.96502685546875,43.91402816772461
59,"1573 Main St, Palmyra, ME 04965, United States",Somerset,Palmyra,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",12+,-69.29463195800781,44.8372802734375
60,"159 Academy St, Presque Isle, ME 04769, United States",Aroostook,Presque Isle,City Drug Store,N/A,N/A,"Schedule an appointment online, or call 207-764-4424 option 1",N/A,-67.9969711303711,46.676734924316406
61,"16 Depot St #300, Livermore Falls, ME 04254, United States",Androscoggin,Livermore Falls,HealthReach Community Health Centers dba Western Maine Family Health Center,Patient Only,Yes,Patients may call 897-4345 to schedule an appointment.,N/A,-70.18828582763672,44.473052978515625
62,"16 Peck Farm Rd, Winthrop, ME 04364, United States",Kennebec,Winthrop,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.95973205566406,44.30815505981445
63,"1603 Main St, Oxford, ME 04270, United States",Oxford,Oxford,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.52477264404297,44.196083068847656
64,"163 Van Buren Rd, Suite 1, Caribou, Maine 04736",Aroostook,Caribou,Cary Medical Center,Public,No,"Cary Medical Center will be offering vaccinations to the community at Caribou’s “Thursdays on Sweden Street,” on the following dates: July 1, July 15, July 29, August 12 and August 26. 
 
We will be offering all three vaccines, no appointments required. More about Thursdays on Sweden: http://www.cariboumaine.org/index.php/event/thursdays-on-sweden-street-with-trish-king-music/
 
We also continue to offer vaccination to hospital patients and through primary care offices.",12+,-68.00830078125,46.879722595214844
65,"17 Kalers Corner St, Waldoboro, ME 04572, United States",York,Waterboro,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-69.38536071777344,44.1005859375
66,"17 Ludlow Rd, Houlton, ME 04730, United States",Aroostook,Houlton,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-67.947021484375,46.14820861816406
67,"17 Myrick St, Lamoine, ME 04605, United States",Hancock,Lamoine,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-68.39282989501953,44.52507781982422
68,"17 South St, Blue Hill, ME 04614, United States",Hancock,Blue Hill,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-68.59626007080078,44.406253814697266
69,"174 Portland, Road, Buxton, 04093",York,Buxton,Buxton Fire-Rescue,Public,Yes,To make an appointment visit the Buxton website,N/A,-70.51496887207031,43.614990234375
70,"175 High St, Ellsworth, ME 04605, United States",Hancock,Ellsworth,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-68.41304016113281,44.5348014831543
71,"175 W Broadway, Lincoln, ME 04457, United States",Penobscot,Lincoln,Health Access Network - Lincoln,Patient Only,Yes (not advertised on website),Patients may call Renee Austin at 207-794-6700.,N/A,-68.52237701416016,45.360618591308594
72,"177 N Main St, Strong, ME 04983, United States",Franklin,Strong,HealthReach Community Health Centers dba Strong Area Health Center,Patient Only,Yes,Patients may call 684-4010 to schedule an appointment.,N/A,-70.2173080444336,44.81943130493164
73,"180 Main Road, Brownville, ME 04414",Piscataquis,Brownville,KVHC-Brownville,Patient Only,No,"Patients may visit www.kvhc.org or 1-866-366-5842, Ext. 155 to register.",N/A,-69.03388214111328,45.303382873535156
74,180 Park Avenue,Cumberland,Portland,MANA/The Medicine Shoppe/MeCAP,Public,Yes,"September 24, 3pm-5:30pm, at the corner of Deering and Park Avenues in Portland. Rain location: 991 Forest Ave #203, Portland.
Free vaccines and free testing available.",N/A,-73.41788482666016,40.677703857421875
75,"180 Park Avenue, Portland, ME 04102",Cumberland,Portland,Greater Portland Health,Public,Yes,"GPH is offering weekly vaccination clinics with all three vaccines: Pfizer, Moderna, and J&J. Call 207-874-2141 to schedule an appointment.",12+,-70.2742691040039,43.655982971191406
76,"181 Main Street, Norway, ME 04268",Oxford,Norway,Western Maine Primary Care,Public,No,"Moderna vaccine will be available on Wednesday and Fridays from 9am-5pm at 8 Pikes Hill in Norway. 
 
Appointments can be pre-booked at vaccine.mainehealth.org, drop-ins are also welcome.",18+,-70.53201293945312,44.2095832824707
77,"182 Market St UNIT 2, Fort Kent, ME 04743, United States",Aroostook,Fort Kent,St. John Valley Pharmacy,N/A,N/A,"To schedule an appointment, call our pharmacy at 207-834-2880 or visit our website at www.sjvrx.com",N/A,-68.57962799072266,47.24127197265625
78,"185 Townsend Ave C, Boothbay Harbor, ME 04538, United States",Lincoln,Boothbay Harbor,Nathan’s Pharmacy,N/A,N/A,Call 207-315-2280 to schedule an appointment,N/A,-69.62561798095703,43.8612174987793
79,"19 Main St, Oakland, ME 04963, United States",Kennebec,Oakland,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.71465301513672,44.548221588134766
80,"19 Portland Rd, Bridgton, ME 04009, United States",Cumberland,Bridgton,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.70191955566406,44.05264663696289
81,"190 Jfk Plaza, Waterville, ME 04901, United States",Kennebec,Waterville,Hannaford,N/A,N/A,"190 JFK Plaza. Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-69.6519775390625,44.54043197631836
82,"1930 Main St, Sanford, ME 04073, United States",York,Sanford,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-70.69963073730469,43.40103530883789
83,"194 E Main St, Fort Kent, ME 04743, United States",Aroostook,Fort Kent,Northern Maine Medical Center,Public,No,"Drop-in vaccinations are available at the hospital at 194 East Main Street every Wednesday and Friday from 12pm - 1pm for Pfizer, Moderna, and Johnson and Johnson vaccines.",12+,-68.59248352050781,47.26534652709961
84,"194 Main St, Machias, ME 04654, United States",Washington,Machias,Machias Family Pharmacy,N/A,N/A,"Schedule an appointment online, and call 207-255-8880",N/A,-67.44506072998047,44.722957611083984
85,"195 Fore River Pkwy suite 170, Portland, ME 04102, United States",Cumberland,Portland,Northern Light Pharmacy,N/A,N/A,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-70.28218841552734,43.649269104003906
86,"2 W Broadway, Lincoln, ME 04457, United States",Penobscot,Lincoln,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-68.5053939819336,45.3618049621582
87,"20 Hartford St, Houlton, ME 04730, United States",Aroostook,Houlton,Houlton Regional Hospital,Public,No,Various clinics are being offered weekly. Please go to houltonregional.org for vaccine clinic scheduling details and information about which vaccines are being provided.,12+,-67.8438720703125,46.133567810058594
88,"200 Kennedy Memorial Dr, Waterville, ME 04901, United States",Kennebec,Waterville,Northern Light Inland Hospital,Public,No,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-69.6624984741211,44.54134750366211
89,"200 Lower Main St, Freeport, ME 04032, United States",Cumberland,Freeport,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-70.1181411743164,43.84492874145508
90,"200 Maple St, Cornish, ME 04020, United States",Penobscot,Corinth,"Community Pharmacy, Corinth",N/A,N/A,To schedule an appointment visit communityrx.com/covid-19/ and select your location of choice.,N/A,-70.82217407226562,43.802650451660156
91,"200 Somerset St, Millinocket, ME 04462, United States",Penobscot,Millinocket/East Millinocket & surrounding areas,Millinocket Regional Hospital,Public,No,"Moderna vaccines are available by appointment only. Scheduling can be done at www.mrhme.org/getvax for those who require first and/or second doses.

Johnson and Johnson vaccines are available with no appointment. Drop-ins are welcome.

All vaccine administration is performed at the Millinocket Regional Hospital Walk-In Care Center in East Millinocket on Tuesday and Thursday of each week.

*Pop-up clinics are available for local businesses and organizations by contacting 207-723-3370*",18+,-68.71615600585938,45.65296936035156
92,"200 Somerset Street, Millinocket, Maine 04462",Penobscot,Millinocket/East Millinocket and surrounding areas,Millinocket Regional Hospital,Public,No,The Millinocket Regional Hospital is available to assist with pop-up clinics for local businesses and organizations by contacting 207-723-3370*,N/A,-68.71615600585938,45.65296936035156
93,"2007 N Belfast Ave, Augusta, ME 04330, United States",Kennebec,Augusta,Walgreens,N/A,N/A,"2007 N. Belfast Ave. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.76283264160156,44.3245964050293
94,"201 Civic Center Dr, Augusta, ME 04330, United States",Kennebec,Augusta,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",12+,-69.78994750976562,44.343780517578125
95,"201 Houlton Road, , Danforth, Maine 04424",Washington,Danforth,East Grand Health Center-Danforth,Patient Only,Yes,By appointment only. Patients will be notified of eligibility to receive the vaccine.,N/A,-67.86215209960938,45.66667175292969
96,"206 US-1, Falmouth, ME 04105, United States",Cumberland,Falmouth,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-70.23529815673828,43.72018051147461
97,"21 Hannaford Drive, Buxton, ME 04093, United States",York,Buxton,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.52375793457031,43.61574172973633
