Color,Zip Code,Color (copy),County,Town,Latitude (generated),Longitude (generated),Vaccination Rate 9-17
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04410,Blue,Penobscot,Bradford,45.0883,-68.9067,0.569496619
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04216,Blue,Oxford,Andover,44.6946,-70.8519,0.580316742
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04095,Blue,York,West Newfield,43.6402,-70.9046,0.596165739
"< 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04068,Blue,Oxford,Porter,43.8405,-70.9403,0.560308972
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04989,Green,Kennebec,Vassalboro,44.4298,-69.6478,0.678308026
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04987,Green,Waldo,Troy,44.6815,-69.257,0.726078799
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04984,Green,Franklin,Temple,44.6965,-70.2805,0.878612717
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04983,Green,Franklin,Strong,44.9203,-70.307,0.747492625
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04982,Green,Franklin,Stratton,45.098,-70.4475,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04981,Green,Waldo,Stockton Springs,44.5326,-68.8616,0.834423549
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04979,Green,Somerset,Solon,44.9471,-69.7967,0.675446849
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04978,Green,Somerset,Smithfield,44.6352,-69.8078,0.819301848
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04974,Green,Waldo,Searsport,44.4918,-68.9335,0.923877917
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04973,Green,Waldo,Searsmont,44.3623,-69.1929,0.849682428
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04971,Green,Somerset,Saint Albans,44.9319,-69.3924,0.690269750
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04970,Green,Franklin,Rangeley,45.0164,-70.6867,0.709207459
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04969,Green,Penobscot,Plymouth,44.7699,-69.2245,0.632088520
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04967,Green,Somerset,Pittsfield,44.772,-69.4393,0.820406166
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04966,Green,Franklin,Phillips,44.8254,-70.4781,0.648602396
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04965,Green,Somerset,Palmyra,44.8456,-69.3627,0.639852057
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04963,Green,Kennebec,Oakland,44.5667,-69.8818,0.808219178
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04961,Green,Somerset,New Portland,45.1574,-70.169,0.633962264
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04957,Green,Somerset,Norridgewock,44.7041,-69.847,0.728360489
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04956,Green,Franklin,New Vineyard,44.8053,-70.1121,0.719020173
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04955,Green,Franklin,New Sharon,44.6413,-70.0094,0.783728814
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04953,Green,Penobscot,Newport,44.86,-69.233,0.716038813
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04952,Green,Waldo,Morrill,44.4094,-69.1426,0.841328413
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04951,Green,Waldo,Monroe,44.6069,-69.0457,0.781404550
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04950,Green,Somerset,Madison,44.8323,-69.8057,0.637835535
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04949,Green,Waldo,Liberty,44.3674,-69.3404,0.815709970
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04947,Green,Franklin,Kingfield,45.0457,-70.2554,0.942678774
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04945,Green,Somerset,Jackman,45.9033,-70.1369,0.707359307
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04943,Green,Somerset,Hartland,44.882,-69.5211,0.679393599
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04942,Green,Somerset,Harmony,45.0907,-69.6233,0.635555556
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04941,Green,Waldo,Freedom,44.4654,-69.3017,0.775287042
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04939,Green,Penobscot,Garland,45.0544,-69.1585,0.644463668
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04937,Green,Somerset,Fairfield,44.6375,-69.675,0.748822367
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04932,Green,Penobscot,Dixmont,44.6957,-69.1333,0.811320755
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04930,Green,Penobscot,Dexter,45.0266,-69.3285,0.760375147
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04929,Green,Somerset,Detroit,44.7624,-69.3113,0.695449242
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04928,Green,Penobscot,Corinna,44.9498,-69.257,0.650103520
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04927,Green,Kennebec,Clinton,44.6713,-69.5375,0.663595757
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04925,Green,Somerset,Caratunk,45.2258,-69.9112,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04924,Green,Somerset,Canaan,44.7793,-69.5497,0.600342319
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04923,Green,Somerset,Cambridge,45.0373,-69.4456,0.728699552
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04922,Green,Waldo,Burnham,44.6866,-69.3819,0.649425287
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04921,Green,Waldo,Brooks,44.5725,-69.1326,0.741748697
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04920,Green,Somerset,Bingham,45.0855,-69.9043,0.636200717
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04917,Green,Kennebec,Belgrade,44.4901,-69.842,0.853109137
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04915,Green,Waldo,Belfast,44.466,-69.0418,0.939514825
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04912,Green,Somerset,Athens,44.9813,-69.6835,0.649857279
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04911,Green,Somerset,Anson,44.7786,-69.9604,0.600786627
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04910,Green,Kennebec,Albion,44.517,-69.4413,0.670514671
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04864,Green,Knox,Warren,44.1296,-69.2448,0.868547544
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04863,Green,Knox,Vinalhaven,44.0804,-68.844,0.984301413
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04862,Green,Knox,Union,44.262,-69.2773,0.926958461
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04861,Green,Knox,Thomaston,44.0942,-69.1743,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04860,Green,Knox,Tenants Harbor,43.967,-69.2276,0.855670103
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04859,Green,Knox,Spruce Head,44.0072,-69.1592,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04858,Green,Knox,South Thomaston,44.0472,-69.1439,0.848466258
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04856,Green,Knox,Rockport,44.1783,-69.1206,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04854,Green,Knox,Owls Head,44.0697,-69.0884,0.901572510
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04853,Green,Knox,North Haven,44.1548,-68.8644,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04849,Green,Waldo,Lincolnville,44.3179,-69.0479,0.994417660
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04848,Green,Waldo,Islesboro,44.3157,-68.9071,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04847,Green,Knox,Hope,44.251,-69.1895,0.949720670
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04843,Green,Knox,Camden,44.2299,-69.0906,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04841,Green,Knox,Rockland,44.128,-69.1375,0.952202437
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04787,Green,Aroostook,Westfield,46.539,-67.9714,0.653225806
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04786,Green,Aroostook,Washburn,46.7921,-68.1788,0.751335600
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04785,Green,Aroostook,Van Buren,47.1364,-68.0046,0.798283262
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04783,Green,Aroostook,Stockholm,47.0213,-68.1945,0.856287425
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04781,Green,Aroostook,Wallagrass,47.1452,-68.6178,0.893542757
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04779,Green,Aroostook,Sinclair,47.0939,-68.345,0.878378378
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04774,Green,Aroostook,Saint Francis,46.8687,-69.2757,0.695767196
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04773,Green,Aroostook,Saint David,47.2733,-68.2211,0.770416025
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04772,Green,Aroostook,Saint Agatha,47.2321,-68.3329,0.781002639
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04769,Green,Aroostook,Presque Isle,46.6867,-67.9874,0.868475089
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04768,Green,Aroostook,Portage,46.7782,-68.5017,0.869346734
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04765,Green,Penobscot,Patten,46.1214,-68.6411,0.698707593
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04764,Green,Aroostook,Oxbow,46.3399,-68.3484,0.873015873
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04763,Green,Aroostook,Oakfield,46.0839,-68.102,0.788732394
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04762,Green,Aroostook,New Sweden,46.9815,-68.114,0.722408027
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04761,Green,Aroostook,New Limerick,46.1185,-67.9722,0.801571709
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04760,Green,Aroostook,Monticello,46.3029,-67.9938,0.698254364
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04758,Green,Aroostook,Mars Hill,46.5545,-67.8477,0.914148352
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04757,Green,Aroostook,Mapleton,46.5683,-68.1835,0.832221832
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04756,Green,Aroostook,Madawaska,47.3225,-68.2985,0.856516291
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04747,Green,Aroostook,Island Falls,46.0193,-68.2866,0.667440062
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04746,Green,Aroostook,Grand Isle,47.2497,-68.1287,0.702306080
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04745,Green,Aroostook,Frenchville,47.2779,-68.3959,0.695229682
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04743,Green,Aroostook,Fort Kent,47.2012,-68.6359,0.813827482
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04742,Green,Aroostook,Fort Fairfield,46.7778,-67.8548,0.853973013
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04740,Green,Aroostook,Easton,46.6436,-67.8559,0.827586207
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04739,Green,Aroostook,Eagle Lake,46.8735,-68.6564,0.760647359
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04736,Green,Aroostook,Caribou,46.9122,-68.017,0.874304419
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04735,Green,Aroostook,Bridgewater,46.432,-67.9811,0.631083203
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04734,Green,Aroostook,Blaine,46.4876,-67.8407,0.764619883
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04733,Green,Aroostook,Benedicta,45.7553,-68.3979,0.786069652
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04732,Green,Aroostook,Ashland,46.6217,-68.4165,0.832189644
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04694,Green,Washington,Baileyville,45.1021,-67.476,0.739075095
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04693,Green,Hancock,Winter Harbor,44.3775,-68.0578,0.92
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04691,Green,Washington,Whiting,44.7815,-67.2769,0.745495495
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04686,Green,Washington,Wesley,44.9863,-67.7406,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04685,Green,Hancock,Swans Island,44.155,-68.4467,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04684,Green,Hancock,Surry,44.4939,-68.5293,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04681,Green,Hancock,Stonington,44.1688,-68.6779,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04680,Green,Washington,Steuben,44.5092,-67.9458,0.624678663
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04679,Green,Hancock,Southwest Harbor,44.2785,-68.3337,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04677,Green,Hancock,Sorrento,44.4933,-68.1798,0.891228070
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04676,Green,Hancock,Sedgwick,44.3481,-68.642,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04675,Green,Hancock,Seal Harbor,44.3031,-68.2408,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04674,Green,Hancock,Seal Cove,44.2992,-68.4054,0.851219512
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04673,Green,Hancock,Sargentville,44.3119,-68.6764,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04671,Green,Washington,Robbinston,45.0632,-67.1673,0.798319328
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04669,Green,Hancock,Prospect Harbor,44.4116,-68.0182,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04668,Green,Washington,Princeton,45.1967,-67.7938,0.749032615
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04666,Green,Washington,Pembroke,44.9869,-67.2436,0.796666667
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04664,Green,Hancock,Sullivan,44.5429,-68.1052,0.800309598
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04662,Green,Hancock,Northeast Harbor,44.2909,-68.2881,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04660,Green,Hancock,Mount Desert,44.3421,-68.3398,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04658,Green,Washington,Milbridge,44.5375,-67.8913,0.874446086
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04657,Green,Washington,Meddybemps,44.9408,-67.4488,0.834437086
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04654,Green,Washington,Machias,44.7511,-67.5023,0.749498424
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04653,Green,Hancock,Bass Harbor,44.2376,-68.3423,0.957089552
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04652,Green,Washington,Lubec,44.8122,-67.0741,0.886977887
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04650,Green,Hancock,Little Deer Isle,44.2941,-68.7201,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04649,Green,Washington,Jonesport,44.5727,-67.5915,0.690458302
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04648,Green,Washington,Jonesboro,44.6664,-67.5891,0.766903915
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04645,Green,Knox,Isle Au Haut,44.0741,-68.6533,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04643,Green,Washington,Harrington,44.5842,-67.8073,0.677419355
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04642,Green,Hancock,Harborside,44.3367,-68.7994,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04640,Green,Hancock,Hancock,44.5386,-68.3071,0.860999194
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04634,Green,Hancock,Franklin,44.6534,-68.1826,0.840062112
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04631,Green,Washington,Eastport,44.9177,-67.0105,0.909498878
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04630,Green,Washington,East Machias,44.778,-67.4196,0.694983278
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04628,Green,Washington,Dennysville,44.8807,-67.2553,0.644179894
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04627,Green,Hancock,Deer Isle,44.2264,-68.666,0.964760254
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04624,Green,Hancock,Corea,44.4201,-67.9894,0.802083333
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04623,Green,Washington,Columbia Falls,44.7022,-67.713,0.628808864
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04622,Green,Washington,Cherryfield,44.813,-67.9838,0.659742120
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04619,Green,Washington,Calais,45.1324,-67.2267,0.913996627
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04617,Green,Hancock,Brooksville,44.367,-68.7266,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04616,Green,Hancock,Brooklin,44.2851,-68.5713,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04614,Green,Hancock,Blue Hill,44.4194,-68.583,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04613,Green,Hancock,Birch Harbor,44.3782,-68.0348,0.972527473
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04612,Green,Hancock,Bernard,44.2619,-68.374,0.689890710
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04611,Green,Washington,Beals,44.4874,-67.586,0.773737374
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04609,Green,Hancock,Bar Harbor,44.3707,-68.2693,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04607,Green,Hancock,Gouldsboro,44.4664,-68.0577,0.718174540
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04606,Green,Washington,Addison,44.5829,-67.7021,0.687311178
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04605,Green,Hancock,Ellsworth,44.7,-68.4044,0.906362369
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04579,Green,Sagadahoc,Woolwich,43.9666,-69.7712,0.895665635
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04578,Green,Lincoln,Wiscasset,43.9875,-69.6911,0.901960784
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04576,Green,Lincoln,Southport,43.8199,-69.6654,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04574,Green,Knox,Washington,44.2736,-69.3911,0.760325407
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04573,Green,Lincoln,Walpole,43.9529,-69.551,0.979127135
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04572,Green,Lincoln,Waldoboro,44.1154,-69.3693,0.808588732
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04571,Green,Lincoln,Trevett,43.8985,-69.6752,0.947214076
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04568,Green,Lincoln,South Bristol,43.8897,-69.5582,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04564,Green,Lincoln,Round Pond,43.9345,-69.4592,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04563,Green,Knox,Cushing,44.021,-69.2553,0.838871473
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04562,Green,Sagadahoc,Phippsburg,43.7899,-69.8283,0.857792476
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04558,Green,Lincoln,Pemaquid,43.8979,-69.5002,0.912
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04556,Green,Lincoln,Edgecomb,43.9697,-69.6244,0.980406933
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04555,Green,Lincoln,Nobleboro,44.1058,-69.4769,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04554,Green,Lincoln,New Harbor,43.8647,-69.5049,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04553,Green,Lincoln,Newcastle,44.0491,-69.5723,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04551,Green,Lincoln,Bremen,44.0089,-69.4326,0.923580786
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04548,Green,Sagadahoc,Georgetown,43.8151,-69.7471,0.99
">= 60% of residents vaccinated and < 2,000 residents remaining unvaccinated",04547,Green,Knox,Friendship,44.0044,-69.3216,0.826472962
